client,nr_visits,continuity,cci,bice_cci
HN16_r656_2,1,1,1.0000,
HN17_r657_1,1,1,1.0000,
HN17_r657_2,1,1,1.0000,
HN19_r658_1,1,1,1.0000,
HN19_r658_2,1,1,1.0000,
HN20_r659_1,1,1,1.0000,
HN20_r659_2,1,1,1.0000,
HN22_r660_1,1,1,1.0000,
HN23_r661_1,1,1,1.0000,
HN23_r661_2,1,1,1.0000,
HN24_r662_1,1,1,1.0000,
HN24_r662_2,1,1,1.0000,
HN25_r663_1,1,1,1.0000,
HN25_r663_2,1,1,1.0000,
