client,nr_visits,continuity
H086_r158,2,2
H086_r159,4,4
H086_r160,2,2
H086_r161,2,2
H086_r162,2,1
H086_r163,2,2
H086_r164,2,2
H086_r165,14,7
H086_r166,14,6
H087_r167,4,4
H087_r168,2,2
H087_r169,2,2
H087_r170,2,2
H087_r171,2,2
H087_r172,2,2
H087_r173,4,4
H087_r174,10,8
H087_r175,2,2
H087_r176,2,2
H087_r177,4,4
H087_r178,2,2
H087_r179,2,2
H087_r180,2,2
H087_r181,2,2
H087_r182,2,2
H087_r183,2,2
H087_r184,4,3
H087_r185,4,4
H087_r186,10,6
H087_r187,4,3
H087_r188,6,3
H087_r189,2,2
H087_r190,4,4
H087_r191,2,2
H092_r192,2,2
H092_r193,2,2
H092_r194,2,2
H092_r195,2,2
H092_r196,4,4
H092_r197,2,2
H092_r198,2,2
H092_r199,2,2
H092_r200,2,2
H092_r201,2,2
H092_r202,2,2
H095_r203,2,2
H095_r204,2,1
H095_r205,2,2
H095_r206,2,2
H095_r207,2,2
H095_r208,4,4
H095_r209,2,2
H095_r210,2,2
H095_r211,2,1
H095_r212,2,2
H095_r213,2,2
H095_r214,4,3
H095_r215,2,2
H095_r216,2,2
H095_r217,2,2
H095_r218,2,2
H095_r219,2,2
H095_r220,2,2
H095_r221,2,2
H095_r222,2,2
H095_r223,14,6
H095_r224,14,6
H096_r225,2,1
H096_r226,2,2
H096_r227,2,2
H096_r228,2,2
H096_r229,4,4
H096_r230,2,2
H096_r231,2,2
H096_r232,2,2
H096_r233,4,4
H096_r234,2,2
H096_r235,2,2
H096_r236,2,2
H096_r237,2,2
H097_r238,4,4
H097_r239,2,2
H097_r240,2,2
H097_r241,2,2
H097_r242,2,2
H097_r243,2,2
H097_r244,2,2
H097_r245,1,1
H097_r246,2,2
H097_r247,2,2
H097_r248,4,4
H097_r249,1,1
H097_r250,2,2
H097_r251,2,2
H097_r252,2,1
H097_r253,2,2
H097_r254,4,2
H097_r255,2,2
H097_r256,2,1
H097_r257,2,2
H097_r258,2,2
H097_r259,2,2
H097_r260,2,2
H097_r261,4,3
H097_r262,14,7
H097_r263,14,7
H107_r264,6,6
H107_r265,2,2
H113_r266,2,2
H114_r267,2,2
H114_r268,2,2
H114_r269,2,2
H114_r270,2,2
H114_r271,2,2
H114_r272,4,4
H114_r273,14,6
H125_r274,2,2
H125_r275,4,3
H125_r276,2,2
H125_r277,2,2
H125_r278,2,2
H125_r279,2,2
H125_r280,14,5
H145_r281,2,2
H145_r282,2,2
H145_r283,2,2
H145_r284,2,2
H145_r285,2,2
H145_r286,4,4
H145_r287,4,3
H145_r288,2,2
H145_r289,2,2
H145_r290,2,2
H145_r291,4,4
H145_r292,2,2
H145_r293,2,2
H145_r294,4,4
H145_r295,2,2
H145_r296,2,2
H145_r297,1,1
H145_r298,4,3
H145_r299,8,5
H145_r300,2,1
H145_r301,2,2
H145_r302,12,8
H154_r303,2,2
H154_r304,2,1
H154_r305,2,2
H154_r306,4,4
H154_r307,2,2
H154_r308,2,2
H154_r309,2,2
H154_r310,4,3
H154_r311,2,2
H154_r312,2,2
H154_r313,2,2
H154_r314,2,2
H154_r315,2,2
H154_r316,2,2
H154_r317,2,2
H154_r318,4,4
H154_r319,2,2
H154_r320,2,2
H154_r321,2,2
H154_r322,2,2
H154_r323,14,7
H154_r324,14,8
H155_r325,4,4
H155_r326,2,2
H155_r327,2,2
H155_r328,2,2
H155_r329,2,2
H155_r330,2,2
H157_r331,2,2
H157_r332,4,4
H157_r333,2,2
H157_r334,2,2
H157_r335,2,2
H157_r336,2,2
H157_r337,2,2
H157_r338,2,2
H157_r339,4,3
H157_r340,2,2
H157_r341,2,2
H157_r342,2,2
H157_r343,2,2
H157_r344,14,5
H172_r345,2,2
H172_r346,2,2
H172_r347,2,2
H172_r348,2,2
H172_r349,2,2
H172_r350,4,4
H172_r351,2,2
H172_r352,2,2
H172_r353,4,3
H172_r354,2,2
H172_r355,4,4
H172_r356,14,7
H172_r357,14,5
H181_r358,2,2
H181_r359,2,2
H181_r360,2,2
H181_r361,4,4
H181_r362,2,2
H181_r363,1,1
H181_r364,2,2
H181_r365,2,2
H181_r366,2,2
H182_r367,2,2
H182_r368,2,2
H182_r369,2,2
H182_r370,2,2
H182_r371,2,1
H182_r372,4,3
H182_r373,2,2
H182_r374,2,2
H182_r375,2,2
H182_r376,2,2
H182_r377,2,1
H182_r378,2,2
H182_r379,2,2
H182_r380,2,2
H182_r381,2,2
H182_r382,2,2
H182_r383,2,1
H182_r384,2,2
H182_r385,2,2
H182_r386,2,2
H182_r387,4,4
H182_r388,2,2
H182_r389,2,2
H182_r390,2,2
H182_r391,2,1
H182_r392,2,2
H182_r393,1,1
H182_r394,14,7
H182_r395,14,7
H200_r396,2,2
H200_r397,2,2
H200_r398,2,2
H200_r399,2,2
H200_r400,2,2
H200_r401,4,4
H200_r402,2,2
H200_r403,2,2
H200_r404,2,2
H200_r405,2,2
H200_r406,2,2
H200_r407,2,2
H200_r408,2,2
H216_r409,2,2
H216_r410,2,2
H216_r411,2,2
H216_r412,2,2
H216_r413,2,2
H216_r414,4,4
H216_r415,2,2
H216_r416,2,2
H216_r417,2,2
H216_r418,2,2
H216_r419,2,2
H216_r420,4,4
H216_r421,2,2
H216_r422,2,2
H216_r423,2,2
H216_r424,14,7
H216_r425,14,6
H230_r426,1,1
H230_r427,2,2
H230_r428,2,2
H230_r429,2,2
H230_r430,4,4
H230_r431,2,2
H235_r432,2,2
H235_r433,2,2
H235_r434,4,4
H235_r435,4,4
H235_r436,2,2
H235_r437,2,2
H235_r438,2,2
H238_r439,2,2
H238_r440,2,2
H238_r441,2,2
H238_r442,2,2
H238_r443,2,1
H238_r444,4,4
H238_r445,2,2
H238_r446,4,3
H238_r447,2,1
H238_r448,2,2
H238_r449,2,2
H238_r450,2,2
H238_r451,2,2
H238_r452,2,2
H238_r453,2,2
H238_r454,2,2
H238_r455,2,2
H238_r456,4,4
H238_r457,4,4
H238_r458,10,8
H238_r459,14,6
H238_r460,6,4
H238_r461,8,6
H239_r462,2,2
H239_r463,2,2
H239_r464,2,2
H239_r465,4,3
H239_r466,2,2
H239_r467,2,2
H239_r468,2,1
H239_r469,12,5
H243_r470,4,2
H243_r471,4,4
H243_r472,6,3
H243_r473,2,2
H243_r474,2,2
H243_r475,4,2
H243_r476,2,2
H243_r477,2,2
H243_r478,2,2
H244_r479,2,2
H244_r480,2,2
H244_r481,2,2
H244_r482,4,3
H244_r483,2,2
H244_r484,2,2
H244_r485,2,2
H244_r486,2,2
H244_r487,2,2
H244_r488,4,4
H244_r489,2,2
H244_r490,2,2
H244_r491,2,2
H244_r492,2,2
H244_r493,14,6
H244_r494,14,6
H248_r495,2,2
H248_r496,2,2
H248_r497,2,2
H248_r498,4,4
H248_r499,2,2
H248_r500,2,2
H248_r501,2,2
H248_r502,2,2
H248_r503,2,2
H248_r504,2,2
H248_r505,2,2
H248_r506,4,3
H248_r507,2,2
H248_r508,2,2
H248_r509,2,2
H248_r510,2,2
H248_r511,2,2
H248_r512,2,2
H248_r513,4,3
H248_r514,10,8
H248_r515,2,2
H248_r516,14,6
H248_r517,14,5
H269_r518,2,2
H269_r519,2,2
H269_r520,2,2
H269_r521,2,2
H270_r522,2,2
H270_r523,2,2
H270_r524,2,2
H270_r525,4,3
H270_r526,2,2
H270_r527,2,2
H270_r528,2,2
H270_r529,2,2
H270_r530,4,4
H270_r531,2,2
H270_r532,2,2
H270_r533,2,2
H270_r534,4,4
H270_r535,2,2
H270_r536,2,2
H270_r537,6,6
H270_r538,4,2
H280_r539,4,4
H280_r540,2,2
H280_r541,2,2
H280_r542,2,2
H280_r543,2,2
H280_r544,2,2
H280_r545,4,4
H280_r546,2,2
H280_r547,2,2
H280_r548,2,2
H280_r549,2,2
H280_r550,2,2
H280_r551,4,4
H280_r552,14,6
H284_r553,2,2
H284_r554,2,2
H284_r555,2,2
H284_r556,4,4
H284_r557,2,2
H284_r558,2,2
H284_r559,2,1
H284_r560,2,2
H284_r561,2,2
H284_r562,2,2
H284_r563,4,3
H284_r564,2,2
H284_r565,2,1
H284_r566,14,7
H284_r567,14,5
H288_r568,2,2
H288_r569,2,2
H288_r570,2,2
H290_r571,2,2
H290_r572,2,2
H290_r573,2,2
H290_r574,2,2
H290_r575,2,2
H290_r576,4,4
H290_r577,2,2
H290_r578,2,2
H290_r579,2,2
H290_r580,2,2
H290_r581,2,2
H290_r582,4,4
H290_r583,2,2
H290_r584,2,1
H290_r585,2,2
H290_r586,2,1
H290_r587,2,2
H290_r588,2,2
H290_r589,4,4
H290_r590,2,2
H290_r591,2,2
H290_r592,2,1
H290_r593,2,2
H290_r594,2,2
H290_r595,2,2
H290_r596,14,5
H290_r597,8,5
H290_r598,6,5
H293_r599,2,2
H293_r600,2,2
H293_r601,2,2
H293_r602,2,2
H293_r603,2,2
H293_r604,4,3
H293_r605,2,2
H293_r606,2,2
H293_r607,2,2
H293_r608,2,2
H293_r609,2,2
H293_r610,2,2
H293_r611,2,2
H293_r612,14,7
H293_r613,8,6
H293_r614,6,4
H295_r615,2,2
H295_r616,2,2
H299_r617,2,2
H299_r618,2,2
H299_r619,2,2
H299_r620,2,2
H299_r621,1,1
H300_r622,2,2
H300_r623,2,2
H300_r624,2,2
H300_r625,2,2
H300_r626,4,4
H300_r627,2,2
H300_r628,4,3
H300_r629,2,2
H300_r630,2,2
H300_r631,2,2
H300_r632,2,2
H300_r633,2,1
H300_r634,14,8
H300_r635,14,7
H301_r636,8,5
H301_r637,8,5
H301_r638,2,2
H301_r639,4,4
H301_r640,4,4
H301_r641,2,2
H301_r642,2,2
H301_r643,2,2
H301_r644,14,6
H301_r645,14,6
H302_r646,2,2
H302_r647,2,2
H302_r648,2,2
H302_r649,4,3
H302_r650,2,2
H302_r651,2,2
H302_r652,2,2
H302_r653,2,2
H302_r654,2,2
H302_r655,2,2
H302_r656,4,4
H302_r657,2,2
H302_r658,2,2
H302_r659,2,2
H302_r660,4,4
H302_r661,2,2
H302_r662,2,2
H302_r663,2,2
H314_r664,2,1
H314_r665,2,2
H314_r666,2,2
H314_r667,2,2
H314_r668,2,2
H314_r669,2,2
H314_r670,2,2
H314_r671,2,2
H314_r672,2,2
H314_r673,2,2
H314_r674,2,2
H314_r675,2,2
H315_r676,2,2
H315_r677,4,4
H315_r678,2,2
H315_r679,2,2
H315_r680,2,2
H315_r681,2,2
H315_r682,2,2
H315_r683,4,4
H315_r684,2,2
H315_r685,2,2
H315_r686,2,1
H315_r687,2,2
H315_r688,14,6
H315_r689,14,8
H317_r690,2,2
H317_r691,2,2
H317_r692,2,2
H317_r693,2,2
H317_r694,2,2
H317_r695,4,4
H317_r696,2,2
H317_r697,4,3
H317_r698,2,2
H317_r699,2,2
H317_r700,2,2
H317_r701,2,2
H317_r702,14,7
H322_r703,2,2
H322_r704,2,2
H322_r705,2,2
H322_r706,2,2
H322_r707,2,2
H322_r708,4,4
H322_r709,2,2
H322_r710,2,2
H322_r711,2,2
H322_r712,2,2
H322_r713,2,2
H322_r714,4,4
H322_r715,10,8
H322_r716,10,6
H322_r717,4,4
H322_r718,14,6
H323_r719,2,2
H323_r720,2,2
H323_r721,2,2
H323_r722,2,2
H323_r723,2,2
H323_r724,2,2
H323_r725,2,2
H323_r726,4,4
H323_r727,4,4
H323_r728,2,2
H323_r729,2,2
H323_r730,2,2
H323_r731,2,2
H323_r732,2,2
H323_r733,4,3
H323_r734,10,8
H323_r735,14,7
H323_r736,4,2
H323_r737,10,5
H324_r738,2,2
H324_r739,2,2
H324_r740,2,2
H324_r741,4,4
H324_r742,2,2
H324_r743,2,2
H324_r744,2,2
H324_r745,2,2
H324_r746,4,3
H324_r747,2,2
H324_r748,2,2
H324_r749,2,2
H324_r750,10,5
H324_r751,4,4
H327_r752,4,4
H327_r753,2,2
H327_r754,2,2
H327_r755,2,2
H327_r756,2,2
H327_r757,2,2
H327_r758,2,2
H327_r759,2,2
H327_r760,2,2
H327_r761,2,2
H327_r762,2,2
H327_r763,14,8
H331_r764,2,2
H331_r765,2,2
H331_r766,2,2
H331_r767,2,2
H331_r768,2,1
H331_r769,4,4
H331_r770,2,2
H331_r771,2,2
H331_r772,2,2
H331_r773,2,2
H331_r774,4,4
H331_r775,2,2
H331_r776,2,2
H331_r777,2,2
H331_r778,4,4
H331_r779,10,5
H332_r780,2,2
H332_r781,2,2
H332_r782,2,2
H332_r783,2,2
H332_r784,2,2
H332_r785,4,4
H332_r786,2,2
H332_r787,2,2
H332_r788,4,4
H332_r789,2,2
H332_r790,2,2
H332_r791,4,4
H332_r792,2,2
H332_r793,4,3
H332_r794,2,2
H332_r795,2,2
H332_r796,4,3
H332_r797,2,2
H332_r798,2,2
H332_r799,14,6
H332_r800,14,5
H334_r801,2,2
H334_r802,2,2
H334_r803,4,4
H334_r804,2,2
H334_r805,2,2
H334_r806,2,2
H334_r807,2,2
H334_r808,2,2
H335_r809,2,2
H335_r810,2,2
H337_r811,8,6
H337_r812,2,2
H337_r813,4,4
H337_r814,2,2
H337_r815,2,2
H337_r816,2,2
H337_r817,4,4
H337_r818,2,2
H337_r819,2,2
H337_r820,4,4
H337_r821,10,6
H337_r822,14,6
H338_r823,2,2
H338_r824,4,3
H338_r825,2,2
H338_r826,2,2
H338_r827,2,2
H338_r828,2,2
H338_r829,2,2
H338_r830,4,3
H338_r831,2,2
H338_r832,2,2
H338_r833,2,2
H338_r834,2,2
H338_r835,2,2
H338_r836,2,2
H338_r837,14,8
H338_r838,14,6
H345_r839,10,8
H345_r840,4,4
H345_r841,2,2
H345_r842,2,2
H345_r843,2,2
H345_r844,8,7
H345_r845,14,8
H345_r846,14,6
H349_r847,2,2
H349_r848,2,2
H349_r849,2,2
H349_r850,2,2
H349_r851,2,2
H349_r852,4,4
H349_r853,2,2
H349_r854,2,2
H349_r855,2,2
H349_r856,2,2
H349_r857,4,4
H349_r858,2,2
H349_r859,14,6
H351_r860,2,2
H351_r861,2,2
H351_r862,2,2
H351_r863,2,1
H351_r864,2,2
H351_r865,4,4
H351_r866,4,4
H351_r867,4,4
H351_r868,10,9
H351_r869,10,7
H351_r870,14,7
H354_r871,2,2
H354_r872,2,2
H354_r873,2,2
H354_r874,2,2
H354_r875,2,2
H354_r876,4,4
H354_r877,2,2
H354_r878,4,4
H354_r879,2,2
H354_r880,2,2
H354_r881,2,2
H354_r882,2,2
H354_r883,14,7
H354_r884,14,7
H355_r885,2,2
H360_r886,2,2
H360_r887,2,2
H360_r888,2,2
H360_r889,2,2
H360_r890,2,2
H360_r891,4,4
H360_r892,2,2
H360_r893,4,4
H360_r894,2,2
H360_r895,2,2
H360_r896,2,2
H360_r897,2,2
H360_r898,2,2
H360_r899,14,6
H361_r900,2,2
H361_r901,2,2
H361_r902,2,2
H361_r903,4,4
H361_r904,2,2
H361_r905,2,2
H361_r906,10,7
H361_r907,4,4
H361_r908,2,2
H361_r909,2,2
H361_r910,2,2
H361_r911,2,2
H361_r912,2,2
H361_r913,2,2
H361_r914,4,4
H361_r915,10,7
H361_r916,4,4
H361_r917,14,7
H361_r918,14,5
H362_r919,4,4
H362_r920,2,2
H362_r921,2,2
H362_r922,2,2
H362_r923,2,2
H362_r924,2,2
H362_r925,2,2
H362_r926,2,2
H362_r927,14,6
H363_r928,2,2
H363_r929,2,2
H363_r930,2,2
H363_r931,2,2
H363_r932,2,2
H363_r933,4,4
H363_r934,4,4
H363_r935,10,8
H363_r936,2,2
H363_r937,2,2
H363_r938,2,2
H363_r939,2,2
H363_r940,2,2
H363_r941,4,4
H363_r942,4,4
H363_r943,10,9
H363_r944,14,4
H363_r945,14,6
H364_r946,2,2
H364_r947,2,2
H364_r948,2,2
H364_r949,2,2
H364_r950,2,2
H364_r951,2,2
H364_r952,4,4
H364_r953,14,7
H364_r954,14,7
HN13_r955,2,2
HN13_r956,2,2
HN13_r957,2,2
HN13_r958,2,2
HN13_r959,4,3
HN13_r960,2,2
HN13_r961,4,4
HN13_r962,2,2
HN13_r963,2,2
HN13_r964,2,2
HN13_r965,2,2
HN13_r966,2,2
HN13_r967,14,7
HN13_r968,14,6
