client,nr_visits,continuity,cci,bice_cci
H367,60,44,0.0311,0.0147
H369,132,83,0.0195,0.0120
HN01_r637_1,1,1,1.0000,
HN01_r637_2,1,1,1.0000,
HN02_r638_1,1,1,1.0000,
HN03_r639_1,1,1,1.0000,
HN03_r639_2,1,1,1.0000,
HN04_r640_1,1,1,1.0000,
HN04_r640_2,1,1,1.0000,
HN05_r641_1,1,1,1.0000,
HN07_r642_1,1,1,1.0000,
HN07_r642_2,1,1,1.0000,
HN08_r643_1,1,1,1.0000,
HN12_r644_1,1,1,1.0000,
HN12_r644_2,1,1,1.0000,
HN13_r645_1,1,1,1.0000,
HN13_r645_10,1,1,1.0000,
HN13_r645_11,1,1,1.0000,
HN13_r645_12,1,1,1.0000,
HN13_r645_13,1,1,1.0000,
HN13_r645_14,1,1,1.0000,
HN13_r645_15,1,1,1.0000,
HN13_r645_16,1,1,1.0000,
HN13_r645_17,1,1,1.0000,
HN13_r645_18,1,1,1.0000,
HN13_r645_19,1,1,1.0000,
HN13_r645_2,1,1,1.0000,
HN13_r645_20,1,1,1.0000,
HN13_r645_3,1,1,1.0000,
HN13_r645_4,1,1,1.0000,
HN13_r645_5,1,1,1.0000,
HN13_r645_6,1,1,1.0000,
HN13_r645_7,1,1,1.0000,
HN13_r645_8,1,1,1.0000,
HN13_r645_9,1,1,1.0000,
HN13_r646_1,1,1,1.0000,
HN13_r646_2,1,1,1.0000,
HN13_r646_3,1,1,1.0000,
HN13_r646_4,1,1,1.0000,
HN13_r646_5,1,1,1.0000,
HN13_r646_6,1,1,1.0000,
HN13_r646_7,1,1,1.0000,
HN13_r646_8,1,1,1.0000,
HN13_r647_1,1,1,1.0000,
HN13_r647_2,1,1,1.0000,
HN13_r647_3,1,1,1.0000,
HN13_r647_4,1,1,1.0000,
HN13_r648_1,1,1,1.0000,
HN13_r649_1,1,1,1.0000,
HN13_r649_2,1,1,1.0000,
HN13_r649_3,1,1,1.0000,
HN13_r649_4,1,1,1.0000,
HN13_r649_5,1,1,1.0000,
HN13_r649_6,1,1,1.0000,
HN13_r649_7,1,1,1.0000,
HN13_r649_8,1,1,1.0000,
HN13_r650_1,1,1,1.0000,
HN13_r650_10,1,1,1.0000,
HN13_r650_11,1,1,1.0000,
HN13_r650_12,1,1,1.0000,
HN13_r650_13,1,1,1.0000,
HN13_r650_14,1,1,1.0000,
HN13_r650_15,1,1,1.0000,
HN13_r650_16,1,1,1.0000,
HN13_r650_17,1,1,1.0000,
HN13_r650_18,1,1,1.0000,
HN13_r650_19,1,1,1.0000,
HN13_r650_2,1,1,1.0000,
HN13_r650_20,1,1,1.0000,
HN13_r650_3,1,1,1.0000,
HN13_r650_4,1,1,1.0000,
HN13_r650_5,1,1,1.0000,
HN13_r650_6,1,1,1.0000,
HN13_r650_7,1,1,1.0000,
HN13_r650_8,1,1,1.0000,
HN13_r650_9,1,1,1.0000,
HN13_r651_1,1,1,1.0000,
HN13_r651_2,1,1,1.0000,
HN13_r651_3,1,1,1.0000,
HN13_r651_4,1,1,1.0000,
HN13_r652_1,1,1,1.0000,
HN13_r652_2,1,1,1.0000,
HN13_r653_1,1,1,1.0000,
HN13_r653_10,1,1,1.0000,
HN13_r653_11,1,1,1.0000,
HN13_r653_12,1,1,1.0000,
HN13_r653_13,1,1,1.0000,
HN13_r653_14,1,1,1.0000,
HN13_r653_15,1,1,1.0000,
HN13_r653_16,1,1,1.0000,
HN13_r653_17,1,1,1.0000,
HN13_r653_18,1,1,1.0000,
HN13_r653_19,1,1,1.0000,
HN13_r653_2,1,1,1.0000,
HN13_r653_20,1,1,1.0000,
HN13_r653_21,1,1,1.0000,
HN13_r653_22,1,1,1.0000,
HN13_r653_23,1,1,1.0000,
HN13_r653_24,1,1,1.0000,
HN13_r653_25,1,1,1.0000,
HN13_r653_26,1,1,1.0000,
HN13_r653_27,1,1,1.0000,
HN13_r653_28,1,1,1.0000,
HN13_r653_3,1,1,1.0000,
HN13_r653_4,1,1,1.0000,
HN13_r653_5,1,1,1.0000,
HN13_r653_6,1,1,1.0000,
HN13_r653_7,1,1,1.0000,
HN13_r653_8,1,1,1.0000,
HN13_r653_9,1,1,1.0000,
HN13_r654_1,1,1,1.0000,
HN13_r654_10,1,1,1.0000,
HN13_r654_11,1,1,1.0000,
HN13_r654_12,1,1,1.0000,
HN13_r654_13,1,1,1.0000,
HN13_r654_14,1,1,1.0000,
HN13_r654_15,1,1,1.0000,
HN13_r654_16,1,1,1.0000,
HN13_r654_17,1,1,1.0000,
HN13_r654_18,1,1,1.0000,
HN13_r654_19,1,1,1.0000,
HN13_r654_2,1,1,1.0000,
HN13_r654_20,1,1,1.0000,
HN13_r654_21,1,1,1.0000,
HN13_r654_22,1,1,1.0000,
HN13_r654_23,1,1,1.0000,
HN13_r654_24,1,1,1.0000,
HN13_r654_25,1,1,1.0000,
HN13_r654_26,1,1,1.0000,
HN13_r654_27,1,1,1.0000,
HN13_r654_28,1,1,1.0000,
HN13_r654_3,1,1,1.0000,
HN13_r654_4,1,1,1.0000,
HN13_r654_5,1,1,1.0000,
HN13_r654_6,1,1,1.0000,
HN13_r654_7,1,1,1.0000,
HN13_r654_8,1,1,1.0000,
HN13_r654_9,1,1,1.0000,
HN15_r655_1,1,1,1.0000,
HN15_r655_2,1,1,1.0000,
HN16_r656_1,1,1,1.0000,
HN16_r656_2,1,1,1.0000,
HN17_r657_1,1,1,1.0000,
HN17_r657_2,1,1,1.0000,
HN19_r658_1,1,1,1.0000,
HN19_r658_2,1,1,1.0000,
HN20_r659_1,1,1,1.0000,
HN20_r659_2,1,1,1.0000,
HN22_r660_1,1,1,1.0000,
HN23_r661_1,1,1,1.0000,
HN23_r661_2,1,1,1.0000,
HN24_r662_1,1,1,1.0000,
HN24_r662_2,1,1,1.0000,
HN25_r663_1,1,1,1.0000,
HN25_r663_2,1,1,1.0000,
